Reaction	In-Pathway	Names
RXN-11729	PWY-6634	3-sulfopropanediol degradation I // DHPS degradation // 2,3-dihydroxypropane-1-sulfonate degradation
RXN-20755	PWY-7892 // RXN0-2281	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN-13313		
3.5.2.17-RXN		
COBALADENOSYLTRANS-RXN	PWY-6268 // RXN-19368 // RXN-19335 // RXN-19369	adenosylcobalamin salvage from cobalamin // vitamin B<sub>12</sub> biosynthesis
RXN-20778	PWY-3602	L-carnitine degradation III
RXN-18798	PWY-5296	thiosulfate oxidation III (multienzyme complex) // Sox enzyme system // Paracoccus sulfur oxidation pathway // PSO pathway
GLYOXII-RXN		
RXN-15583	4.4.1.25-RXN	
SUCCINYLDIAMINOPIMTRANS-RXN	DAPLYSINESYN-PWY	L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis
RXN-21562	PWY-8164	<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation // sulfo-<i>bis</i>(guanylyl molybdopterin) cofactor biosynthesis // bis-MGD sulfulylation
RXN-14882		
RXN-22438	1CMET2-PWY	folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis
N-ACETYLGLUTPREDUCT-RXN	GLUTORN-PWY // ARGSYNBSUB-PWY	L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)
ISOCITDEH-RXN	PWY-7268 // TCA	cytosolic NADPH production (yeast) // TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN		
RXN-19609		
RXN-17782	PWY0-1337	oleate &beta;-oxidation
3.2.1.52-RXN		
ENOYL-COA-HYDRAT-RXN	FAO-PWY	fatty acid &beta;-oxidation I (generic)
3-DEHYDROQUINATE-DEHYDRATASE-RXN	PWY-6163	chorismate biosynthesis from 3-dehydroquinate
RXN-9951	ISOCITDEH-RXN	
RXN-20150	RXN-20153	
ACETYLGLUTKIN-RXN	GLUTORN-PWY // ARGSYNBSUB-PWY	L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)
ARGININE-DEIMINASE-RXN	ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway) // L-arginine dihydrolase pathway // L-arginine deiminase degradation
ETHAMLY-RXN	PWY0-1477	ethanolamine utilization
S-2-METHYLMALATE-DEHYDRATASE-RXN	PWY-5087	L-glutamate degradation VI (to pyruvate) // L-glutamate fermentation // mesaconate pathway // methylaspartate pathway // L-glutamic acid degradation VI (to pyruvic acid )
RXN-2961	PWY-1801	formaldehyde oxidation II (glutathione-dependent) // formaldehyde oxidation II (GSH-dependent)
RXN0-6732	PWY0-1533	methylphosphonate degradation I // carbon-phosphorus lyase pathway
R342-RXN	PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
GLUTSEMIALDEHYDROG-RXN	PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)
RXN-17775	PWY0-1337	oleate &beta;-oxidation
HISTIDINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
PPENTOMUT-RXN	PWY0-1296	purine ribonucleosides degradation
RXN0-6733	PWY0-1533	methylphosphonate degradation I // carbon-phosphorus lyase pathway
RIBOKIN-RXN		
RXN0-3201	PWY-7884	lipoprotein posttranslational modification // lipoprotein lipoylation // Lol pathway
RXN-18092		
RXN-11042		
RXN0-5190		
ACONITATEDEHYDR-RXN	TCA // RXN-14047	TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
RXN-13202	PWY-4984	urea cycle // Krebs ornithine cycle // Krebs-Henseleit cycle
RXN-9230		
RXN-7913	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
RXN-8642	ISOCITDEH-RXN	
RXN-6081		
DGTPTRIPHYDRO-RXN		
ACETYLORNDEACET-RXN	GLUTORN-PWY	L-ornithine biosynthesis I
RXN-11667	PWY0-1337	oleate &beta;-oxidation
RXN-20789	PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>) // lipid-A-precursor biosynthesis (<i>P. putida</i>)
HOMOSERDEHYDROG-RXN	HOMOSERSYN-PWY	L-homoserine biosynthesis
RXN-21432		
THREOSPON-RXN	RXN-14249	
ASPARTATE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
RXN-16629	PWY-7663	gondoate biosynthesis (anaerobic) // <i>cis</i>-11-icosenoate biosynthesis // (11<i>Z</i>)-icos-11-enoate biosynthesis // (11<i>Z</i>)-icosenoate biosynthesis // gondoic acid biosynthesis // 11-eicosenoic acid biosynthesis
2.5.1.39-RXN		
THI-P-SYN-RXN	PWY-7356	thiamine diphosphate salvage IV (yeast) // thiamin salvage IV (yeast)
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN		
IMIDPHOSDEHYD-RXN	HISTSYN-PWY	L-histidine biosynthesis
R343-RXN	PWY-7962 // RXN-19339	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide
RXN-17633		
RXN2DNV-1	PWYI-14	lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>) // lipid-A-precursor biosynthesis
DHHB-METHYLTRANSFER-RXN	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)
RXN-11588		
XYLULOKIN-RXN	XYLCAT-PWY	D-xylose degradation I // D-xylose catabolism
RXN-11211	PWY-6430	thymine degradation // uracil degradation (reductive)
NICONUCADENYLYLTRAN-RXN	PYRIDNUCSYN-PWY // PWY3O-4107 // PWY-8277	NAD <i>de novo</i> biosynthesis I (from aspartate) // nicotinamide adenine dinucleotide biosynthesis // NAD salvage pathway V (PNC V cycle) // Preiss-Handler pathway // NAD <i>de novo</i> biosynthesis IV (anaerobic)
RXN-9530	PWY-8279	palmitate biosynthesis III
RXN-6601		
PABASYN-RXN	PWY-6543	4-aminobenzoate biosynthesis I // pABA biosynthesis I // plastidial PABA biosynthesis // PABA biosynthesis in plastids // <i>p</i>-aminobenzoate biosynthesis I
SUPEROX-DISMUT-RXN	DETOX1-PWY-1 // DETOX1-PWY	reactive oxygen species degradation // removal of superoxide radicals // superoxide radicals degradation
BETA-UREIDOPROPIONASE-RXN	PWY-3982	uracil degradation I (reductive) // &beta;-alanine biosynthesis
RXN-18708	PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
3.5.1.80-RXN		
RXN-17956	PWY-7805	(aminomethyl)phosphonate degradation
PRIBFAICARPISOM-RXN	HISTSYN-PWY	L-histidine biosynthesis
4-HYDROXYPROLINE-EPIMERASE-RXN		
RXN0-4641	PWY0-1261	anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
RXN-20401		
RXN-20674	3-DEHYDROQUINATE-SYNTHASE-RXN	
RXN-16765		
RXN-15139		
RXN-19342	PWY-7971 // BTUR2-RXN	adenosylcobinamide-GDP salvage from cobinamide I
RXN-14291		
RXN-7609	PWY-6608	guanosine nucleotides degradation III
RXN-12611	PWY-6894	thiamine diphosphate biosynthesis I (E. coli) // vitamin B<sub>1</sub> biosynthesis // thiamin diphosphate biosynthesis I (E. coli)
GUANYL-KIN-RXN	PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis
1.5.1.20-RXN		
RXN-14808		
RXN-12572	PWY-6048	methylthiopropanoate degradation I (cleavage) // MTPA degradation // methylthiopropionate degradation I (cleavage)
RXN-9634	PWY-8280	stearate biosynthesis IV // stearic acid biosynthesis IV
ENOYL-ACP-REDUCT-NADPH-RXN	FASYN-ELONG-PWY	fatty acid elongation -- saturated
RXN-14386	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
5.3.3.14-RXN	PWY0-862	(5Z)-dodecenoate biosynthesis I // (5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I
3.1.2.21-RXN	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)
RXN-16615	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
RXN-10661	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)
KDPGALDOL-RXN	PWY-7242 // ENTNER-DOUDOROFF-PWY	D-fructuronate degradation // Entner-Doudoroff shunt
RXN-18797	PWY-5296	thiosulfate oxidation III (multienzyme complex) // Sox enzyme system // Paracoccus sulfur oxidation pathway // PSO pathway
OROTPDECARB-RXN	PWY-5686	UMP biosynthesis I // uridine-5'-phosphate biosynthesis I // <i>de novo</i> biosynthesis of uridine-5'-phosphate I // <i>de novo</i> biosynthesis of uridine-5'-monophosphate I
RXN-18205	RXNQT-4171	
RXN-6341		
RXN-10857		
RXN-19295	PWY-7964	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // <i>Co</i>&alpha;-[a-(adenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP // pseudo-adenosyl cobamide biosynthesis from adenosylcobinamide-GDP
GTP-CYCLOHYDRO-I-RXN	PWY-6147 // PWY-6703	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // preQ<sub>0</sub> biosynthesis // deazapurine biosynthesis // 7-cyano-7-deazaguanine biosynthesis // 7-cyano-7-carbaguanine biosynthesis
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	VALSYN-PWY	L-valine biosynthesis
RXN-10815		
RXN-8001		
RXN-17783	PWY0-1337	oleate &beta;-oxidation
RXN-12141		
RXN-20786	PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>) // lipid-A-precursor biosynthesis (<i>P. putida</i>)
XANTHOSINEPHOSPHORY-RXN	PWY0-1296 // SALVPURINE2-PWY // PWY-5695	purine ribonucleosides degradation // xanthine and xanthosine salvage // inosine 5'-phosphate degradation // IMP degradation // urate biosynthesis
RXN-13733		
RXN0-2044	PWY0-321 // PWY-1361	phenylacetate degradation I (aerobic) // benzoyl-CoA degradation I (aerobic)
R322-RXN	PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
RXN-21565	RXN-21566	
ARGSUCCINSYN-RXN	ARGSYN-PWY // PWY-4984 // ARGSYNBSUB-PWY	L-arginine biosynthesis I (via L-ornithine) // urea cycle // Krebs ornithine cycle // Krebs-Henseleit cycle // L-arginine biosynthesis II (acetyl cycle)
RXN0-5515		
NAG1P-URIDYLTRANS-RXN	UDPNAGSYN-PWY // PWY0-1261	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis // anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
RXN0-5507	PWY-6703	preQ<sub>0</sub> biosynthesis // deazapurine biosynthesis // 7-cyano-7-deazaguanine biosynthesis // 7-cyano-7-carbaguanine biosynthesis
UDP-NACMURALGLDAPAALIG-RXN	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
RXN0-1321	PWY-6700	queuosine biosynthesis I (<i>de novo</i>)
RXN-16619	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
RXN-9531	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
RXN-15878	NONMEVIPP-PWY	methylerythritol phosphate pathway I // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway
BUTYRYL-COA-DEHYDROGENASE-RXN	PWY0-1337	oleate &beta;-oxidation
TYROSINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
NAD-SYNTH-NH3-RXN	PYRIDNUCSYN-PWY // PWY-8277	NAD <i>de novo</i> biosynthesis I (from aspartate) // nicotinamide adenine dinucleotide biosynthesis // NAD <i>de novo</i> biosynthesis IV (anaerobic)
RXN-15446	PWY-6420	pyrroloquinoline quinone biosynthesis // PQQ biosynthesis
RXN-12753	PWY-6938-1	NADH repair (prokaryotes)
RXN-7682	SALVADEHYPOX-PWY	adenosine nucleotides degradation II // purine ribonucleotide/ribonucleoside metabolism
RXN-19310	PWY-7964	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // <i>Co</i>&alpha;-[a-(adenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP // pseudo-adenosyl cobamide biosynthesis from adenosylcobinamide-GDP
PHENYLPYRUVATE-TAUTOMERASE-RXN		
THIOESTER-RXN	PWY-5148	acyl-CoA hydrolysis // acyl-CoA thioesterase pathway
AMIDASE-RXN		
P-PANTOCYSLIG-RXN	COA-PWY	coenzyme A biosynthesis I (bacteria) // CoA biosynthesis
RXN-11740		
METHYLGLUTACONYL-COA-HYDRATASE-RXN	LEU-DEG2-PWY	L-leucine degradation I
GUANINE-DEAMINASE-RXN	PWY-6608	guanosine nucleotides degradation III
RXN-2962	PWY-1801	formaldehyde oxidation II (glutathione-dependent) // formaldehyde oxidation II (GSH-dependent)
5-FORMYL-THF-CYCLO-LIGASE-RXN	1CMET2-PWY	folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis
RXN-12353		
RXNI-27	PWYI-14	lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>) // lipid-A-precursor biosynthesis
RXN-12134		
RXN-14883		
CHMS-DEHYDROGENASE-RXN		
RXN-8765	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
ISOVALERYLCOA-DHLIPOAMIDE-RXN	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	4-methyl-2-oxopentanoate dehydrogenase (acylating)
RXN-22242	PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>) // lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
RXN0-7014	PWY-7805	(aminomethyl)phosphonate degradation
RXN-20457	PWY-8136	NADPH repair (prokaryotes)
RXN-20557		
MANNONDEHYDRAT-RXN	PWY-7242	D-fructuronate degradation
RXN0-2141	PWY0-862	(5Z)-dodecenoate biosynthesis I // (5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I
RXN-14091		
RXN-14256	RXN-8769	
LIPIDXSYNTHESIS-RXN	NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // lipid-A-precursor biosynthesis (<i>E. coli</i>)
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	PWY-2301	<i>myo</i>-inositol biosynthesis
ALKANE-1-MONOOXYGENASE-RXN	P221-PWY	octane oxidation
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN		
RXN-10659	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)
LUMAZINESYN-RXN	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis
RXN-12195	PWY-7185 // PWY-6545	UTP and CTP dephosphorylation I // pyrimidine nucleotides dephosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
2.7.1.156-RXN		
RXN-8961	PWY-5741	ethylmalonyl-CoA pathway // ethylmalonyl pathway
RXN-19340	PWY-6268 // RXN-19335	adenosylcobalamin salvage from cobalamin // vitamin B<sub>12</sub> biosynthesis
AKBLIG-RXN	THREONINE-DEG2-PWY	L-threonine degradation II // threonine dehydrogenase pathway // TDG pathway
RXN-22558		
RXN0-5226	PWY0-1261	anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
2.1.1.5-RXN	PWY-3661	glycine betaine degradation I
RXN-14394	PWY0-1337	oleate &beta;-oxidation
RXN-20739		
RXN-11484	PWY-8203	8-amino-7-oxononanoate biosynthesis IV // 7-keto-8-aminopelargonate biosynthesis IV
RXN-20084	GLUTSYN-PWY // AMMASSIM-PWY // GLUTAMATESYN-RXN	L-glutamate biosynthesis I // ammonia assimilation cycle III // ammonia assimilation III // GS/GOGAT pathway
HOMOSERDEAM-RXN		
RXN-16013	PWY-6048 // RXN-12573	methylthiopropanoate degradation I (cleavage) // MTPA degradation // methylthiopropionate degradation I (cleavage) // MTA-CoA hydrolase
RXN-8762	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
RXN0-7310	PWY0-1599	periplasmic disulfide bond formation
RXN-9520	PWY-5971 // PWY-8279 // PWY-7388	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
RXN-13403		
4.4.1.25-RXN	PWY-6638	sulfolactate degradation III
RXNQT-4165		
RXN-15513	PWY-8004 // ANAGLYCOLYSIS-PWY	Entner-Doudoroff pathway I // ED pathway I // glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
RXN0-6482	PWY0-1479	tRNA processing
6.2.1.34-RXN		
RXN-15308		
RXN2B4Q-51		
RXN66-546		
RXN-13141	PWY-8136	NADPH repair (prokaryotes)
HOMOSERKIN-RXN	HOMOSER-THRESYN-PWY	L-threonine biosynthesis
RXN0-4022	PWY-6700	queuosine biosynthesis I (<i>de novo</i>)
RXN-13697		
RXN-8141		
RXN-12721	PWY-6932	selenate reduction // selenium metabolism // selenium assimilation
RXN-20788	PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>) // lipid-A-precursor biosynthesis (<i>P. putida</i>)
RXNQT-4191	PWY-6907 // PWY-7356	thiamine diphosphate biosynthesis III (Staphylococcus) // vitamin B<sub>1</sub> biosynthesis III // thiamin diphosphate biosynthesis III (Staphylococcus) // thiamine diphosphate salvage IV (yeast) // thiamin salvage IV (yeast)
RXN-17354	2.7.3.9-RXN	
3PGAREARR-RXN	GLUCONEO-PWY // ANAGLYCOLYSIS-PWY	gluconeogenesis I // glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
RXN-12621	PWY-6891 // RXN-20037	thiazole component of thiamine diphosphate biosynthesis II // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis
ARYLESTERASE-RXN		
RXN-8753		
1.5.1.9-RXN		
THIAMINASE-RXN	PWY-7356	thiamine diphosphate salvage IV (yeast) // thiamin salvage IV (yeast)
AMP-NUCLEOSID-RXN	PWY-6617	adenosine nucleotides degradation III // adenosine ribonucleotide/ribonucleoside metabolism
RXN-9760	PWY-6056	dimethylsulfoniopropanoate degradation II (cleavage) // DMSP degradation // dimethylsulfoniopropionate degradation II (cleavage)
RXNQT-4171		
ORNITHINE-CYCLODEAMINASE-RXN	ORN-AMINOPENTANOATE-CAT-PWY // ARG-GLU-PWY	L-ornithine degradation I (L-proline biosynthesis) // L-arginine degradation VII (arginase 3 pathway)
L-IDONATE-2-DEHYDROGENASE-RXN		
RXN-17886	PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation
NICOTINAMID-RXN	PWY3O-4107	NAD salvage pathway V (PNC V cycle) // Preiss-Handler pathway
RXN-8768	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
GAPOXNPHOSPHN-RXN	PWY-8004 // GLUCONEO-PWY // ANAGLYCOLYSIS-PWY	Entner-Doudoroff pathway I // ED pathway I // gluconeogenesis I // glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
2PGADEHYDRAT-RXN	PWY-8004 // GLUCONEO-PWY // ANAGLYCOLYSIS-PWY	Entner-Doudoroff pathway I // ED pathway I // gluconeogenesis I // glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
HISTIDPHOS-RXN	HISTSYN-PWY	L-histidine biosynthesis
RXN-16626	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
PHOSGLYPHOS-RXN	PWY-8004 // GLUCONEO-PWY // ANAGLYCOLYSIS-PWY	Entner-Doudoroff pathway I // ED pathway I // gluconeogenesis I // glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
NAD-SYNTH-GLN-RXN	PYRIDNUCSYN-PWY // PWY3O-4107 // PWY-8277	NAD <i>de novo</i> biosynthesis I (from aspartate) // nicotinamide adenine dinucleotide biosynthesis // NAD salvage pathway V (PNC V cycle) // Preiss-Handler pathway // NAD <i>de novo</i> biosynthesis IV (anaerobic)
HISTALDEHYD-RXN	HISTSYN-PWY // RXN-8001	L-histidine biosynthesis
BIOTINLIG-RXN	PWY0-1264	biotin-carboxyl carrier protein assembly // BCCP assembly
RXN-22713	PABASYN-RXN	
RXN0-308	PWY-6891 // RXN-22700 // RXN-12588 // RXN-20037 // RXN-22698 // RXN-9787 // RXN-21566	thiazole component of thiamine diphosphate biosynthesis II // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis // cysteine:[ThiI sulfur-carrier protein]-L-cysteine sulfurtransferase desulfurase
RXN-22612		
FMNREDUCT-RXN	PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic) // DMB biosynthesis I
RXN0-262	PWY-5964	guanylyl molybdenum cofactor biosynthesis // MGD biosynthesis // molybdopterin guanine dinucleotide biosynthesis
RXN-6268		
RXN-21025	RXN-982	
1.2.2.3-RXN	PWY-8303	reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway
RXN-22557		
RXN-12560		
PREPHENATEDEHYDRAT-RXN	PHESYN	L-phenylalanine biosynthesis I
RXN0-2381	TRPSYN-PWY // TRYPSYN-RXN	L-tryptophan biosynthesis
RXN-8770	COBALSYN-PWY // PWY-5509	superpathway of adenosylcobalamin salvage from cobinamide I // adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
METHYLCROTONYL-COA-CARBOXYLASE-RXN	LEU-DEG2-PWY	L-leucine degradation I
TRANS-RXN0-286	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
RXN-9220	PWY-5849	menaquinol-6 biosynthesis // vitamin K<sub>2</sub> biosynthesis // MK-6 biosynthesis // menaquinone-6 biosynthesis
RXN-11350		
RXN-14570	PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
RXN-15130	HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine) // L-homocysteine degradation
SULFITE-REDUCT-RXN	PWY-6683	assimilatory sulfate reduction III
RXN-9662	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)
RXN-11361	PWY-6823	molybdopterin biosynthesis
ACETOLACTSYN-RXN	VALSYN-PWY	L-valine biosynthesis
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)
RXN2DNV-2	PWYI-14	lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>) // lipid-A-precursor biosynthesis
RXN-16956		
RIBOFLAVIN-SYN-RXN	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis
FORMYLTHFGLUSYNTH-RXN	PWY-2161	folate polyglutamylation
URUR-RXN	PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
RXN-22247	PWYI-14 // PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>) // lipid-A-precursor biosynthesis // lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>) // lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
RXN0-6998		
RXN-14727		
KDOTRANS-RXN		
RXN-17955	PWY-7805	(aminomethyl)phosphonate degradation
3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN		
PMPOXI-RXN		
IMIDAZOLONEPROPIONASE-RXN	PWY-5028	L-histidine degradation II
RIB5PISOM-RXN		
DURIDKI-RXN	PWY-7199	pyrimidine deoxyribonucleosides salvage
RXN-21601		
RXN-21027	RXN-982	
RXN-22286		
RXN-22604		
ADENYLOSUCCINATE-SYNTHASE-RXN	PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis
RXN-11410	PWY-6502	8-oxo-(d)GTP detoxification I // oxidized GTP and dGTP detoxification I // oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification I // 8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate I
RXN-12865	PWY-6932	selenate reduction // selenium metabolism // selenium assimilation
RXN-22610		
3.1.26.5-RXN	PWY0-1479	tRNA processing
RXN-11409	PWY-6502	8-oxo-(d)GTP detoxification I // oxidized GTP and dGTP detoxification I // oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification I // 8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate I
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN		
RXN-7933		
2.4.1.129-RXN		
RXN-20154	ACETYL-COA-ACETYLTRANSFER-RXN	
RXN-2401	PWY-1361	benzoyl-CoA degradation I (aerobic)
UDP-NACMURALA-GLU-LIG-RXN	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
RXN-8991	LEUSYN-PWY // RXN-13163	L-leucine biosynthesis
RXN-18202	RXNQT-4174	
