#
#  rpom246200cyc 24.0 Reactions link table generated on Mon Apr 20, 2020
#
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
RXN-1623	EC-2.3.1.51
SPONTPRO-RXN	
RXN-10915	EC-1.1.1.1
GLUTDEHYD-RXN	EC-1.4.1.4
RXN1G48-19	
RXN1G48-23	
RXN-5861	
RXN-16165	EC-6.1.1.10
ANTHRANSYN-RXN	EC-4.1.3.27
RXN-9531	EC-2.3.1.179	EC-2.3.1.41
PROPIONATE--COA-LIGASE-RXN	EC-6.2.1.17
2.7.7.8-RXN	EC-2.7.7.8
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26
RXN-18510	EC-2.7.1.26
RXN1G-488	EC-1.3.1.9
RXN-9657	EC-1.3.1.9
RXN-11476	EC-1.1.1.100
3.4.11.5-RXN	EC-3.4.11.5
METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
RXN-10704	EC-4.2.1.17
RXN-17888	EC-2.3.2.8
RXN0-7248	EC-6.2.1.3
RXN-18603	
ACETATE--COA-LIGASE-RXN	EC-6.2.1.1
RXN-16659	EC-3.4.16.4
GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	EC-4.1.1.44
RXN-10702	EC-1.1.1.35
CYTDEAM-RXN	EC-3.5.4.1
RXN-16689	
RXN-16623	EC-4.2.1.59
RXN-9240	EC-2.1.1.222
RXN-12448	EC-1.1.1.1
1.1.1.178-RXN	EC-1.1.1.178
RXN-9633	EC-2.3.1.86	EC-1.1.1.100
SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
RXN1G-157	EC-1.1.1.100
RXN-14790	EC-1.3.1.34
RXN0-7014	EC-2.3.1
RXN-12456	EC-1.3.1.91
RXN-17824	EC-2.1.1.63
RXN-18396	EC-3.5.1.125
RXN-11586	EC-2.1.1.192
RXN0-5131	EC-2.7.7
RXN1G48-13	
MANDELATE-RACEMASE-RXN	EC-5.1.2.2
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EC-2.7.7.56
RXN-12747	EC-1.1.1.145
THREOSPON-RXN	
RXN-16135	EC-4.2.1.17
2.1.3.1-RXN	EC-2.1.3.1
GDPKIN-RXN	EC-2.7.4.6
3.5.1.88-RXN	EC-3.5.1.88
3.6.3.4-RXN	EC-3.6.3.4
3.2.1.52-RXN	EC-3.2.1.52
RXN-9850	EC-2.3.1.176
RXN0-6485	EC-3.1.26.12
RXN-18210	
RXN-8767	EC-2.1.1.289
RXN-11136	EC-3.4.25.2
OHMETPYRKIN-RXN	EC-2.7.1.49
GLUTATHIONE-SYN-RXN	EC-6.3.2.3
RXN-14857	EC-3.5.99
1.3.1.54-RXN	EC-1.3.1.54
HISTCYCLOHYD-RXN	EC-3.5.4.19
RXN-17099	EC-3.5.1.11
RXN-10814	EC-2.6.1.1
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
RXN-17010	EC-2.3.1.51
RXN-14907	EC-2.6.1.77
RXN-8163	EC-1.4.3.3
RXN-14160	EC-3.1.4.46
5.3.3.10-RXN	EC-5.3.3.10
GPPSYN-RXN	EC-2.5.1.1
RXN-15468	
ALLANTOATE-DEIMINASE-RXN	EC-3.5.3.9
RXN-17345	
R122-RXN	EC-3.5.4.43
CITSYN-RXN	EC-2.3.3.16	EC-2.3.3.1
3-ISOPROPYLMALDEHYDROG-RXN	
2.7.13.3-RXN	EC-2.7.13.3
FRUCTOKINASE-RXN	EC-2.7.1.4
RXN0-882	EC-1.17.7.1
RXN0-5226	EC-3.2.1.52
RXN-14388	
RXN-14014	EC-1.17.1.8
RXN-8771	EC-1.13.11.79
BENZOATE--COA-LIGASE-RXN	EC-6.2.1.25
ABC-34-RXN	EC-3.6.3.20
RXN-15150	EC-2.7.1.202
RXN-9537	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-14113	EC-3.1.4.16
MONOPHENOL-MONOOXYGENASE-RXN	EC-1.14.18.1
SARCOX-RXN	EC-1.5.3.1
RXN1G48-28	
RXN-11758	EC-2.1.1.64
R321-RXN	EC-1.14.13.83
RXN-8629	EC-1.8.1.4
RXN-9235	EC-2.1.1.201
RXN-15816	EC-1.10.2.2
BENZOIN-ALDOLASE-RXN	EC-4.1.2.38
RXN-15043	EC-2.3.1.51
SHIKIMATE-5-DEHYDROGENASE-RXN	EC-1.1.1.25
RXN-14904	
RXN-17809	EC-4.6.1.17
RXN-15007	EC-2.6.1.11
HYDROXYPYRUVATE-REDUCTASE-RXN	EC-1.1.1.81
RXN-5882	
RXN-13685	EC-1.18.1.6
PSERTRANSAM-RXN	EC-2.6.1.52
TRANS-RXN-218	
RXN0-1461	EC-1.3.3.3
RXN-8959	EC-1.3.8.12
RXN-14390	
R313-RXN	EC-4.2.1.84
RXN-12752	EC-5.1.99.6
RXN-18431	
PHEAMINOTRANS-RXN	EC-2.6.1.57
RXN1G-240	EC-1.1.1
ISOVALERYLCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
PRIBFAICARPISOM-RXN	EC-5.3.1.16
RXN-12587	EC-2.8.1.7
RXN-5901	EC-1.1.1.36
RXN-7253	EC-3.1.3.25
3-OXOACYL-ACP-REDUCT-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-16632	EC-1.3.1.9
RXN-8156	EC-1.8.2.3
RXN-16032	EC-2.3.1.51
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
RXNN-386	EC-5.99.1.4
RXN1G48-27	
RXN-17887	
RXN-10	EC-6.3.4.5
RXN-10767	EC-3.1.1.1
RXN-14376	EC-3.5.1.117
RXN-9653	EC-2.3.1.86
RXN-10659	EC-1.1.1.100
RXN-905	EC-1.1.1.35
RXN-16012	
RXN-16475	
NADH-DEHYDROGENASE-QUINONE-RXN	EC-1.6.5.11
TRANS-RXN1G48-29	
GTP-CYCLOHYDRO-I-RXN	EC-3.5.4.16
GUANIDINOBUTANAMIDE-NH3-RXN	EC-3.5.1.4
RXN-11209	EC-1.3.1.2
RXN-16136	EC-1.1.1
RXN-16953	EC-1.1.1.90
ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
2.7.7.60-RXN	EC-2.7.7.60
RXN-12540	
RUBREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.1
PNPOXI-RXN	EC-1.4.3.5
2.1.1.133-RXN	EC-2.1.1.133
RXN-2901	EC-2.6.1.19
RXN0-5514	EC-2.3.1.51
4-COUMARATE--COA-LIGASE-RXN	EC-6.2.1.12
HISTALDEHYD-RXN	
UDPREDUCT-RXN	EC-1.17.4.1
FATTY-ACYL-COA-SYNTHASE-RXN	EC-2.3.1.86
RXN-8344	EC-2.7.7.75
RXN-10642	EC-4.1.1.37
HISTPRATPHYD-RXN	EC-3.6.1.31
RXN-8668	EC-1.8.4.11
RXN0-5254	
RXN-12611	EC-2.5.1.3
RXN0-5390	EC-3.1.2
RXN-924	
RXN66-546	EC-1.5.1.2
RXN-13805	EC-2.3.1.15
RXN-7719	EC-1.8.1.4
CATAL-RXN	EC-1.11.1.6	EC-1.11.1.21
N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	EC-3.5.1.68
RXN-9662	EC-1.3.1.9
RXN-6201	EC-4.1.1.97
RXN-10911	EC-1.1.1.1
RXN3O-1803	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.86
ABC-27-RXN	EC-3.6.3.27
RXN-2961	EC-4.4.1.22
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
RXN0-5462	EC-3.6.5.1	EC-3.6.5.2	EC-3.6.5.3	EC-3.6.5.4	EC-3.6.5.5	EC-3.6.5.6
RXN-7929	EC-4.1.3.34
RXN0-6484	EC-3.1.13.5
RXN-14882	
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EC-2.6.1.16
ALCOHOL-DEHYDROG-GENERIC-RXN	EC-1.1.1.1
RXN-16457	
RXN-14188	EC-3.6.1
RXN-18435	EC-3.2.2.23
THIAMINASE-RXN	EC-3.5.99.2
RXN0-3201	EC-3.4.21
GTPPYPHOSKIN-RXN	EC-2.7.6.5
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	EC-3.1.2.4
RXN-17792	EC-1.3.8
TRANS-RXN1G48-9	
RXN-16557	EC-1.3.8.9
RXN-12252	EC-3.1.1.1
HEXOKINASE-RXN	EC-2.7.1.1
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
CARNITINE-3-DEHYDROGENASE-RXN	EC-1.1.1.108
UDPNACETYLGLUCOSAMACYLTRANS-RXN	EC-2.3.1.129
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
DIHYDRODIPICSYN-RXN	EC-4.3.3.7
RXN-12694	EC-5.3.3.1
GLUCONOLACT-RXN	EC-3.1.1.17
CITTRANS-RXN	EC-2.8.3.10
RXN-14136	EC-3.1.4.46
RXN0-5433	EC-4.1.2.53
RXN-12160	EC-2.1.1.222
RXN1G-163	EC-1.1.1
RXN-12850	
RXN-15740	EC-1.1.5.3
RXN-18200	
RXN-9772	EC-1.5.99
RXN-14301	
RXN-14858	EC-3.5.99
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
RXN-7605	EC-2.1.1
RXN1G-395	EC-1.3.1.9
RXN-17344	EC-1.13.11.39
RXN-13826	
RXN-17919	
R221-RXN	EC-1.1.99
RXN-18232	
2.8.1.6-RXN	EC-2.8.1.6
RXN-17776	EC-4.2.1.17
GLUCOKIN-RXN	EC-2.7.1.1	EC-2.7.1.2
RXN0-384	EC-3.6.1.9
RXN-2881	EC-2.1.2
RXN-16956	EC-1.2.1.7
RXN-11046	EC-2.1.1.163
RXN-10018	
RXN1G48-2	
RXN-14129	EC-3.5.4.1
SUPEROX-DISMUT-RXN	EC-1.15.1.1
RXN-5061	EC-1.5.7.1
URITRANS-RXN	EC-2.7.7.59
RXN-12458	EC-2.1.1.228
RXN-16628	EC-1.3.1.9
RXN-11479	EC-2.3.1.179
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
RXN-12610	EC-2.5.1.3
CARBAMATE-KINASE-RXN	EC-2.7.2.2
ENOYL-COA-HYDRAT-RXN	EC-4.2.1.17
1.2.4.4-RXN	EC-1.2.4.4
RXN-9892	EC-5.5.1.7
PYRIMSYN3-RXN	EC-2.7.4.7
AMINOBENZCOALIG-RXN	EC-6.2.1.32
PROTOHEMEFERROCHELAT-RXN	EC-4.99.1.1
PORPHOBILSYNTH-RXN	EC-4.2.1.24
CARBOXYLESTERASE-RXN	EC-3.1.1.1
RXN-10827	EC-2.7.8.23
TRANS-RXN1G48-14	
LCARNCOALIG-RXN	EC-6.2.1.48
RXN0-5260	EC-1.1.5.3
5.4.2.10-RXN	EC-5.4.2.10
5.99.1.2-RXN	EC-5.99.1.2
3.1.26.4-RXN	EC-3.1.26.4
RXNI-2	EC-2.8.3.5
PYRAZIN-RXN	EC-3.5.1.4
RXN-10015	
ALKAPHOSPHA-RXN	EC-3.1.3.1
RXN-11210	EC-3.5.1.6
TRANS-RXN-1	
RXN-8899	
RXN0-5021	EC-2.7.7
RXN-16389	EC-6.2.1.3
RXN-6081	
ENOYL-ACP-REDUCT-NADPH-RXN	EC-1.3.1.39	EC-1.3.1.104	EC-2.3.1.86	EC-2.3.1.85	EC-1.3.1.10
RXN-9362	EC-2.1.1.163
TRANS-RXN0-234	
TRANS-RXN1G48-2	
2-METHYLACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.5
RXN-11842	EC-5.4.99.28
RXN-4821	EC-3.5.99
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
RXN-17647	
SULFUR-DIOXYGENASE-RXN	
RXN-7919	EC-3.1.2.6
TRANS-RXN0-240	
PROPIONYL-COA-CARBOXY-RXN	EC-6.4.1.3
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12
RXN-17897	EC-1.18.1.2
RXN-16631	EC-4.2.1.59
RXN0-2042	EC-1.14.13.149
RXN-9788	EC-2.8.1
RXN-12561	EC-2.3.1.9
GCVP-RXN	EC-1.4.4.2
RXN1G-260	EC-1.1.1
OROTPDECARB-RXN	EC-4.1.1.23
RXN-7592	
RXN-16664	EC-3.4.17.13
RXN-13451	EC-1.3.8.9
2.7.3.9-RXN	EC-2.7.3.9
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
GSAAMINOTRANS-RXN	EC-5.4.3.8
RXN-12753	
RXN-13008	EC-2.3.1.86
RXN0-2621	EC-3.1.25
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
RXN-14811	
RXN-10819	EC-6.2.1.30
RXN-14090	EC-3.1.3.6
RXN0-5391	EC-5.3.3.8
RXN-16133	EC-1.1.1.35
RXN-9914	EC-1.14.13.1
DIHYDLIPACETRANS-RXN	EC-2.3.1.12
RXN-14273	EC-4.2.1.17
RXN-11832	EC-2.7.4.14	EC-2.7.4.25
PMPOXI-RXN	EC-1.4.3.5
RXN0-5222	
RXN-14325	
RXN-9635	EC-1.3.1.9
BTUR2-RXN	EC-2.5.1.17
4.4.1.25-RXN	EC-4.4.1.25
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	EC-1.17.4.1
RXN-12490	EC-1.1.1.35
RXN-3962	EC-3.5.1.46
UREASE-RXN	EC-3.5.1.5
RXN-5822	EC-3.1.3.2	EC-3.1.3.1
RXN-12444	EC-1.5.1.38
RXN0-5293	EC-1.2.1.16
GLUTRACE-RXN	EC-5.1.1.3
RXN-22	EC-4.3.2.1
1.1.1.145-RXN	EC-1.1.1.145
CDPDIGLYSYN-RXN	EC-2.7.7.41
RXN-8243	
RXN-15122	
RXN-16540	EC-1.3.8.9
CATECHOL-12-DIOXYGENASE-RXN	EC-1.13.11.1
RXN-15680	EC-2.5.1.18
ISPH2-RXN	EC-1.17.7.4
RXN-16010	
RXN-17886	
UNDECAPRENYL-DIPHOSPHATASE-RXN	EC-3.6.1.27
RXN-15129	
TAURINE-AMINOTRANSFERASE-RXN	EC-2.6.1.77
MMUM-RXN	EC-2.1.1.10
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.33
3.4.21.89-RXN	EC-3.4.21.89
2.1.1.130-RXN	EC-2.1.1.130
ENTG-RXN	
RXN-10062	EC-1.3.1.9
RXN-18204	
RXN-17011	EC-2.3.1.51
RXN1G-517	EC-4.2.1.59
RXN-11781	EC-6.3.2.36
ISOCITDEH-RXN	EC-1.1.1.42
RXN-17339	EC-1.14.12.18
RXN-982	EC-1.20.4.1
PHOSPHASERSYN-RXN	EC-2.7.8.8
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
TRANS-RXN1G48-28	
RXN-8340	EC-4.1.99.22
RXN1G48-24	
RXN-12734	EC-4.2.1.132
RXN0-5225	EC-3.5.1.28
RXN0-7023	EC-3.1.13
RXN-12726	EC-2.5.1.47
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
RXN0-6727	EC-4.2.1.136
RXN-12612	EC-3.5.1
5.4.1.2-RXN	EC-5.4.99.61
RXN-9534	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN-18201	
SUCCINYLDIAMINOPIMTRANS-RXN	EC-2.6.1.17
TRANS-RXN1G48-15	
DLACTDEHYDROGFAD-RXN	EC-1.1.5.12
METHYLVALERATE-RXN	EC-1.2.4.4
TRANS-RXN-42	
OXALODECARB-RXN	EC-1.1.1.40	EC-4.1.1.3	EC-1.1.1.38
RXN-7282	
KDOTRANS2-RXN	EC-2.4.99.13
RXN-9229	EC-2.1.1.64
1.10.2.2-RXN	EC-1.10.2.2
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
RXN0-5242	
POLYPHOSPHATE-KINASE-RXN	EC-2.7.4.1
RXN-9893	
RXN-9549	EC-3.1.2.14
RXN0-2382	EC-4.2.1.122
RXN-16076	EC-2.3.1.51
RXN-12198	EC-3.6.1.6
RXN-17022	EC-2.3.1.51
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
RXN-8999	EC-2.5.1.31
RXN-14207	EC-2.7.1.40
4.2.1.99-RXN	EC-4.2.1.99
3.4.25.1-RXN	EC-3.4.25.1
RXN-13482	EC-2.1.3.3
RXN-16660	
RXN1G48-22	
RXN-13595	EC-1.7.3.6
3.5.2.12-RXN	EC-3.5.2.12
RXN-12573	EC-4.2.1.155
TRANS-RXN1G48-21	
RXN-12750	EC-1.1.1.35
3.1.13.5-RXN	EC-3.1.13.5
D-AMINO-ACID-OXIDASE-RXN	EC-1.4.3.3
THYKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN-10083	EC-3.1.1.24
RXN-18584	EC-1.10.2.2
RXN-9648	EC-2.3.1.86
PPGPPSYN-RXN	EC-3.1.7.2
RIB5PISOM-RXN	EC-5.3.1.6
RXN3O-4113	EC-1.1.1.1
PROTOCATECHUATE-34-DIOXYGENASE-RXN	EC-1.13.11.3
RXN-9789	EC-2.7.7.73
RXN-9348	
UNSPECIFIC-MONOOXYGENASE-RXN	EC-1.14.14.1
RXN0-1147	EC-2.3.1.61
RXN-10020	EC-2.3.1.184
RXN-17008	EC-2.3.1.51
NITRILE-HYDRATASE-RXN	EC-4.2.1.84
RXN-14227	EC-3.1.3.5
RXN-14950	EC-2.8.1.8
MANNONOXIDOREDUCT-RXN	EC-1.1.1.57
RXN0-3942	EC-3.5.1.94
RXN-13677	EC-3.4.11.2
HOMOSERDEAM-RXN	EC-4.4.1.1
RXN-16401	EC-6.2.1.3
2.7.8.23-RXN	EC-2.7.8.23
HYDROXYLAMINE-REDUCTASE-NADH-RXN	EC-1.7.1.10
RXN-7594	
1.13.11.25-RXN	EC-1.13.11.25
RXN-13673	EC-2.5.1.18
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	EC-1.3.1.1
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
RXN1G-358	EC-1.1.1
RXN-12754	
DARAB5PISOM-RXN	EC-5.3.1.13
RXN-9869	
3.1.1.64-RXN	EC-3.1.1.1
RXN-9557	EC-4.2.1.59
TRANS-RXN1G48-19	
HISTIDINE-AMMONIA-LYASE-RXN	EC-4.3.1.3
RXN-16320	
GLYCPDIESTER-RXN	EC-3.1.4.46
RXN-18399	EC-1.14.18
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
RXN-17794	EC-1.1.1.35
THIAZOLSYN3-RXN	EC-2.7.1.50
RXN-15953	
CDPREDUCT-RXN	EC-1.17.4.1
RXN-12625	EC-3.2.1.52
RXN66-353	EC-1.1.1.145
RXN-11272	
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
RXN-14025	EC-3.1.3.5
3-HYDROXY-KYNURENINASE-RXN	EC-3.7.1.3
RXN-11480	EC-1.1.1.100
RXN1G-3641	EC-2.1.1.79
RXN-16427	EC-2.7.7.77
RXN-17109	EC-1.1.1.330
RXN-9387	EC-5.1.99.5
GLUTKIN-RXN	EC-2.7.2.11
RXN-18446	EC-6.2.1.1
RXN0-6523	EC-3.1.26.12
ALDOSE1EPIM-RXN	EC-5.1.3.3
3.5.2.17-RXN	EC-3.5.2.17
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
RXN-17786	EC-1.1.1.35
2-METHYLCITRATE-SYNTHASE-RXN	EC-2.3.3.5
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
3.4.21.92-RXN	EC-3.4.21.92
HOMOGENTISATE-12-DIOXYGENASE-RXN	EC-1.13.11.5
RXN-13323	EC-2.5.1.32
RXN-16650	EC-2.4.1.129
SUCCDIAMINOPIMDESUCC-RXN	EC-3.5.1.18
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
1.5.1.28-RXN	EC-1.5.1.28
RXN0-6482	EC-2.7.7.56
CTPSYN-RXN	EC-6.3.4.2
RXN-18447	EC-6.2.1.1
RXN-12746	EC-6.2.1.41
L-IDITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.14
CDPKIN-RXN	EC-2.7.4.6
GLYCEROL-KIN-RXN	EC-2.7.1.30
ABC-19-RXN	EC-3.6.3.29
3.4.17.19-RXN	EC-3.4.17.19
ADENYLATECYC-RXN	EC-4.6.1.1
3-OXOADIPATE-COA-TRANSFERASE-RXN	EC-2.8.3.6
ENTDB-RXN	EC-2.7.8.7
METHYLGLUTACONYL-COA-HYDRATASE-RXN	EC-4.2.1.18
RXN0-7005	
RXN-15045	EC-2.3.1.15
DXPREDISOM-RXN	EC-1.1.1.267
RXN-17132	EC-3.9.1.3
1.4.1.21-RXN	EC-1.4.1.21
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
TRANS-RXN-319	
TRANS-RXN-324	EC-3.6.3.32
RXN-6341	EC-6.3.2.17
3.4.17.11-RXN	EC-3.4.17.11
P-PANTOCYSLIG-RXN	EC-6.3.2.5
RXN-17876	EC-3.4.11.18
OHMETHYLBILANESYN-RXN	EC-2.5.1.61
FPPSYN-RXN	EC-2.5.1.10
R342-RXN	EC-6.6.1.2
RXN-17009	EC-2.3.1.51
RXN-12567	EC-4.2.1.17
XANTHOSINEPHOSPHORY-RXN	EC-2.4.2.1
RXN-6268	
RXN-14382	
RXN-9510	EC-1.5.1.42
RXN0-2142	EC-1.1.1.100
RXN3O-117	
RXN-16333	
RXN-10656	EC-4.2.1.59
RXN-9922	
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
RXN-14271	EC-1.1.1.211
MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.39
4.1.99.4-RXN	EC-3.5.99.7
RXN-17019	EC-2.3.1.51
RXN1G-2544	EC-2.1.1.79
RXN-13290	EC-6.2.1.3
1.3.1.2-RXN	EC-1.3.1.2
GENTISATE-12-DIOXYGENASE-RXN	EC-1.13.11.4
RXN0-5107	EC-3.6.1.9
RXN-11410	
RXN0-5259	
RXN-9386	EC-6.1.1.24
RXN-9227	EC-2.1.1.201
6.3.5.7-RXN	EC-6.3.5.7
RXN-7682	EC-1.17.1.4
CITRYLY-RXN	EC-4.1.3.34
BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN	EC-1.13.11.39
RXN-14047	EC-4.2.1.3
RXN0-6479	EC-3.1.13.1
RXN0-6478	EC-3.1.26.12
GSHTRAN-RXN	EC-2.5.1.18
RXN-9190	EC-2.5.1.74
THYMIDYLATESYN-RXN	EC-2.1.1.45
PPENTOMUT-RXN	EC-5.4.2.7
RXN-11811	
PSERTRANSAMPYR-RXN	EC-2.6.1.52
2.3.1.176-RXN	EC-2.3.1.176
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
RXN-8975	EC-2.7.8.13
RXN-16626	EC-1.1.1.100
RXN1G48-6	
RXN-11302	EC-3.4.16.4
RXN-11213	EC-1.2.1.27
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	EC-4.1.3.4
RXN0-6733	EC-3.6.1.63
ADENODEAMIN-RXN	EC-3.5.4.4
TRANS-RXN0-544	
RXN-1122	EC-6.2.1.12
RXN-16024	EC-2.3.1.15
RXN-12560	EC-1.1.1.36
TRANS-RXN1G48-24	
TRANS-RXN-141A	
RXN0-308	EC-2.8.1.7
RXN0-268	EC-2.8.3
RXN-12864	
SUCCSEMIALDDEHYDROG-RXN	EC-1.2.1.79
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
RXN-17777	EC-1.1.1.35
FUMHYDR-RXN	EC-4.2.1.2
GLUTAMIDOTRANS-RXN	EC-4.3.2
TRANS-RXN1G48-3	
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	EC-4.2.1.55
RXN-13142	EC-5.1.99.6
S-ADENMETSYN-RXN	EC-2.5.1.6
1.14.11.18-RXN	EC-1.14.11.18
DIMETHYLGLYCINE-DEHYDROGENASE-RXN	EC-1.5.8.4
RXN66-350	EC-1.1.1.145
R344-RXN	EC-2.5.1.17
UDP-NACMURALA-GLU-LIG-RXN	EC-6.3.2.9
RXN3O-5304	EC-2.3.1
RXN-13158	EC-1.1.1.85
RXN-11319	EC-4.1.99.19
GCVT-RXN	EC-2.1.2.10
MUCONOLACTONE-DELTA-ISOMERASE-RXN	EC-5.3.3.4
RXN-14073	EC-3.1.4.46
RXN-6642	EC-3.4.11.2
RXN-17882	
RXN-7913	EC-2.7.4.25	EC-2.7.4.14	EC-2.7.4.13
TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-2.6.1.27
RXN-9536	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-17883	
GLYCINE--TRNA-LIGASE-RXN	EC-6.1.1.14
RXN-10079	EC-1.14.13.1
RXN0-1132	EC-1.8.1.4
RXN-7587	
RXN-14270	EC-2.4.2.7
RXN-5881	
RXN-12197	EC-3.6.1.6
RXN-8447	
ACETYL-COA-ACETYLTRANSFER-RXN	EC-2.3.1.9
3.1.21.3-RXN	EC-3.1.21.3
GLU6PDEHYDROG-RXN	EC-1.1.1.49
6PGLUCONOLACT-RXN	EC-3.1.1.31
CPM-KDOSYNTH-RXN	EC-2.7.7.38
RXN-12184	EC-6.2.1.3
ACSERLY-RXN	EC-2.5.1.47
ATPASE-RXN	EC-3.6.1.15
PGLUCONDEHYDRAT-RXN	EC-4.2.1.12
RXN1G48-5	
RXN3O-5293	EC-2.3.1.86
ARYLSULFAT-RXN	EC-3.1.6.1
1.2.1.27-RXN	EC-1.2.1.27
RXN66-483	EC-6.2.1.3
RXN-8961	EC-4.1.3.24
HOMSUCTRAN-RXN	EC-2.3.1.46
RXN-18202	
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
NAG6PDEACET-RXN	EC-3.5.1.25
ALARACECAT-RXN	EC-5.1.1.1
R310-RXN	EC-4.2.1.84
DALADALALIG-RXN	EC-6.3.2.4
ERYTH4PDEHYDROG-RXN	EC-1.2.1.72
RXN-8769	EC-6.3.5.11
RXN-10697	EC-4.2.1.17
RXN-15127	EC-3.5.99.10
RXN-9550	EC-3.1.2.14
RXN66-3	EC-1.2.1.3
RIBOFLAVINKIN-RXN	EC-2.7.1.26
RXN-11715	EC-2.4.2.1
RXN-14481	
RXN-10448	
RXN-13519	
RXN-2364	EC-2.3.3.15
METHYLCROTONYL-COA-CARBOXYLASE-RXN	EC-6.4.1.4
RXN-15635	EC-2.1.2.11
BETA-UREIDOPROPIONASE-RXN	EC-3.5.1.6
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
HISTAMINOTRANS-RXN	EC-2.6.1.9
CYTIDEAM2-RXN	EC-3.5.4.5
ACETYLPUTRESCINE-DEACETYLASE-RXN	EC-3.5.1.62
BIOTIN-CARBOXYL-RXN	EC-6.3.4.14
TRANS-RXN1G48-26	
DEOXYGLUCONOKIN-RXN	EC-2.7.1.178	EC-2.7.1.45
DCTP-DEAM-RXN	EC-3.5.4.13
TRANS-RXN1G48-17	
RXN-7933	EC-3.5.1.16
RXN-16954	EC-1.1.1.90
PSERPHOSPHA-RXN	EC-3.1.3.3
RXN-12751	EC-3.1.2
PHOSACETYLTRANS-RXN	EC-2.3.1.8
TRANS-RXN0-569	
RXN-5721	
RXN1G-881	EC-1.1.1
TRANS-RXN1G48-22	
RXN-15159	EC-2.7.1.207
RXN-15130	EC-4.4.1.1
4.1.1.81-RXN	EC-4.1.1.81
