Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Reactions of gene
G7360	b2625	2758985	2760394	G7360-MONOMER	
G7524	b2948	3092937	3093500	G7524-MONOMER	
EG11999	b2120	2205695	2207974	EG11999-MONOMER	
EG11906	b3947	4139720	4142221	EG11906-MONOMER	
EG10435	b4175	4403300	4404304	EG10435-MONOMER	RXN-21299
G7745	b3402	3530715	3532439	G7745-MONOMER	
EG10179	b0431	448650	450641	CYOB-MONOMER	RXN0-5268
EG10141	b1737	1819856	1821214	CELB-MONOMER	TRANS-RXN-155B // TRANS-RXN-155
G359	b1074	1131438	1131842	FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN	
G6782	b1488	1562495	1563076	G6782-MONOMER	3.4.13.22-RXN
EG10566	b1613	1688576	1689751	MANNPISOM-MONOMER	MANNPISOM-RXN
EG11375	b2153	2242984	2243652	GTP-CYCLOHYDRO-I-MONOMER	GTP-CYCLOHYDRO-I-RXN
EG11320	b0413	433002	433451	EG11320-MONOMER	
EG10880	b2606	2744183	2744530	EG10880-MONOMER	
G6144	b0272	288404	289162	G6144-MONOMER	
G7533	b2963	3104433	3105512	G7533-MONOMER	RXN-17391 // RXN-17392
G0-8865	b4432	1923066	1923337	RYEA-RNA	
EG12130	b2526	2657085	2658935	EG12130-MONOMER	RXN-25091
EG10377	b3429	3566600	3568033	GLYCOGENSYN-MONOMER	GLYCOGENSYN-RXN
EG11208	b4017	4220301	4222487	EG11208-MONOMER	
G7936	b4340	4570162	4571574	G7936-MONOMER	
G6136	b0261	276715	277647	MMUM-MONOMER	MMUM-RXN
G7231	b2362	2475511	2475873	G7231-MONOMER	
EG11949	b4075	4293163	4293546	EG11949-MONOMER	
EG10383	b3870	4056625	4058034	ADENYLYL-GS // GLUTAMINESYN-MONOMER	GLUTAMINESYN-RXN
G6186	b0321	338325	339743	G6186-MONOMER	
EG11161	b2928	3073976	3074689	EG11161-MONOMER	
EG12164	b4395	4633797	4634444	PGAM2-MONOMER	
EG10459	b4350	4583249	4586761	EG10459-MONOMER	3.1.21.3-RXN
EG10295	b0588	619384	620199	FEPC-MONOMER	ABC-10-RXN
EG10450	b2023	2094535	2095125	GLUTAMIDOTRANS-MONOMER	GLUTAMIDOTRANS-RXN // GLUTAMIN-RXN // RXN-17900
EG10710	b1713	1795557	1797944	PHET-MONOMER	RXN-23957 // RXN-23088 // RXN-23956 // RXN-23958 // PHENYLALANINE--TRNA-LIGASE-RXN // RXN-23892 // RXN-23904
EG10813	b1351	1417488	1417763	EG10813-MONOMER	
EG10673	b0565	584680	585633	EG10673-MONOMER	3.4.21.87-RXN
G6908	b1682	1761766	1762512	G6908-MONOMER	
EG12334	b0158	177662	178462	EG12334-MONOMER	ABC-5-RXN // TRANS-RXN-296
G0-9613	b4455	3720448	3720600	MONOMER0-1605	
G6731	b1412	1482255	1482860	G6731-MONOMER	RXN0-6722 // RXN0-5375
G7434	b2768	2894196	2894771	G7434-MONOMER	
G0-10432	b4504	264026	264247	MONOMER0-2654	
G7851	b4188	4416017	4416292	G7851-MONOMER	
EG11352	b3627	3802039	3803058	EG11352-MONOMER	RXN0-5125
G2002	b1294	1355467	1357110	SAPA-MONOMER	TRANS-RXN-1594
G7606	b3087	3237311	3238297	G7606-MONOMER	
EG12260	b3533	3692618	3695236	EG12260-MONOMER	CELLULOSE-SYNTHASE-UDP-FORMING-RXN
EG12253	b3526	3679419	3680348	DEOXYGLUCONOKIN-MONOMER	DEOXYGLUCONOKIN-RXN
G6507	b0986	1048688	1049332	G6507-MONOMER	
EG10638	b1224	1279864	1283607	NARG-MONOMER	RXN0-3501 // RXN0-7124 // RXN-15119
EG10576	b3236	3383330	3384268	MALATE-DEHASE-MONOMER	MALATE-DEH-RXN
EG11439	b2686	2812616	2814154	EMRB-MONOMER	TRANS-RXN-365 // TRANS-RXN-364 // TRANS-RXN-363
EG11160	b2924	3068947	3069807	EG11160-MONOMER	TRANS-RXN-86
EG10670	b2215	2311646	2312749	EG10670-MONOMER	RXN0-2481 // RXN0-7211 // RXN0-7241 // RXN0-7210 // RXN0-7209 // RXN0-7208 // RXN0-7207 // RXN0-7206 // RXN0-7204 // TRANS-RXN0-445 // RXN0-1741 // RXN0-7203 // RXN0-7202 // RXN0-7201 // RXN0-7200 // RXN0-7199 // RXN0-7247 // RXN0-7246 // TRANS-RXN-380 // RXN0-7245 // RXN-15315 // RXN0-0 // RXN0-7244 // RXN0-7243 // RXN0-7242 // TRANS-RXN0-490 // TRANS-RXN0-615 // TRANS-RXN0-614 // TRANS-RXN0-612 // TRANS-RXN0-611 // TRANS-RXN0-609 // TRANS-RXN0-608 // TRANS-RXN0-607 // TRANS-RXN0-606 // TRANS-RXN0-604 // TRANS-RXN0-603 // TRANS-RXN0-601 // TRANS-RXN0-598
G0-10473	b4566	4533796	4534053	MONOMER0-2695	
G6759	b1448	1518328	1518846	G6759-MONOMER	RXN0-6948
G0-10561	b4543	2357816	2358001	MONOMER0-4395	
EG12079	b3480	3617776	3618582	NIKE-MONOMER	ABC-20-RXN // TRANS-RXN0-630
G7642	b3147	3293400	3295436	G7642-MONOMER	
G6719	b1398	1462125	1463438	G6719-MONOMER	RXN-10819
G6802	b1515	1604047	1605039	YDEZ-MONOMER	TRANS-RXN0-454
G7716	b3347	3476607	3477419	G7716-MONOMER	PEPTIDYLPROLYL-ISOMERASE-RXN
G0-9607	b4423	1270238	1270345	MONOMER0-1603	
G0-10597	b4607	2700059	2700377		
EG10942	b3590	3758017	3759861	EG10942-MONOMER	RXN0-5462
EG10440	b1712	1795253	1795552	PD00347	
G0-10715	b4705	852869	852997	MONOMER0-4216	
G0-17023	b4777	1673608	1673709	MONOMER0-4489	
EG10253	b3077	3225722	3226171	EG10253-MONOMER	
G6826	b1553	1639030	1639527	G6826-MONOMER	
G6936	b1731	1813421	1813663	G6936-MONOMER	
EG10361	b2662	2792735	2794015	GABATRANSAM-MONOMER	GABATRANSAM-RXN // VAGL-RXN // ACETYLORNTRANSAM-RXN
EG11235	b0797	830872	832236	EG11235-MONOMER	RXN-24178
EG11610	b2370	2484374	2487967	MONOMER0-4184 // MONOMER0-4185 // PHOSPHO-EVGS // EVGS-MONOMER	2.7.13.3-RXN
G0-16637	b4710	257923	258426	MONOMER0-4345	
EG11522	b0702	733776	734102	EG11522-MONOMER	
EG12434	b3055	3201207	3201827	EG12434-MONOMER	
EG12084	b2286	2402055	2403845	NUOC-MONOMER	NADH-DEHYDROG-A-RXN // RXN0-5388
EG11789	b2051	2125743	2126222	GDPMANMANHYDRO-MONOMER	GDPMANMANHYDRO-RXN // GDP-GLUCOSIDASE-RXN
G7952	b4378	4613481	4614260	G7952-MONOMER	
EG10794	b2312	2428721	2430238	PRPPAMIDOTRANS-MONOMER	PRPPAMIDOTRANS-RXN
EG12061	b2203	2298269	2298718	NAPB-MONOMER	NITRATE-REDUCTASE-CYTOCHROME-RXN
G6127	b0252	267184	268005	G6127-MONOMER	
G7510	b2897	3040804	3041070	G7510-MONOMER	
EG30046	b3069	3215598	3215673	ileX-tRNA	
G6532	b1025	1092876	1094234	G6532-MONOMER	RXN0-5359
EG11794	b2806	2940143	2941243	EG11794-MONOMER	RXN-11589
G7619	b3105	3253318	3254214	G7619-MONOMER	
EG10501	b3769	3952201	3952464	SMALLILVM-MONOMER	ACETOOHBUTSYN-RXN // ACETOLACTSYN-RXN
G0-17094	b4819	2512687	2512776	MONOMER0-4547	
EG10541	b3456	3594203	3595480	LIVM-MONOMER	ABC-36-RXN // ABC-15-RXN // ABC-35-RXN // TRANS-RXN-312
G0-10647	b4680	2496921	2496992	MONOMER0-2874	
G7083	b2003	2076817	2077038	G7083-MONOMER	
EG11184	b3448	3586943	3587383	EG11184-MONOMER	
G6813	b1527	1615763	1616878	G6813-MONOMER	
EG10636	b0676	700374	701594	PD00266	
EG10993	b3616	3790320	3791345	THREODEHYD-MONOMER	RXN-14249 // THREODEHYD-RXN
EG10862	b3704	3884493	3884852	EG10862-MONOMER	RXN0-6480 // 3.1.26.5-RXN // RXN-24138 // RXN0-7478 // RXN0-7480 // RXN0-7481
G6213	b0361	381674	382579	G7480-MONOMER	
EG12340	b0262	277756	278802	YAGC-MONOMER	
G6746	b1435	1506781	1508742	G6746-MONOMER	RXN-21990
EG10491	b4018	4222804	4223628	PD04099	
EG12020	b2139	2227323	2228758	EG12020-MONOMER	
EG30062	b2814	2947387	2947463	metZ-tRNA	
EG12310	b2523	2655075	2656358	EG12310-MONOMER	RXN0-5204 // RXN-6622
EG10301	b2731	2854338	2856416	PD02936	
EG12323	b2244	2356904	2357803	EG12323-MONOMER	
EG10010	b1456	1527890	1529938	EG10010-MONOMER	
G7880	b4249	4473340	4474053	G7880-MONOMER	
EG12099	b4147	4375699	4376265	MONOMER0-4200 // EG12099-MONOMER	
G6571	b1113	1169412	1170374	G6571-MONOMER	RXN0-5401
EG12331	b0155	175107	176528	YADQ-MONOMER	RXN0-2501
G6325	b0580	605951	606199	G6325-MONOMER	
EG11660	b1929	2008277	2009482	EG11660-MONOMER	
G6106	b0222	243543	244121	G6106-MONOMER	RXN0-4301
EG10308	b4314	4543115	4543663	EG10308-MONOMER	
G6923	b1700	1782681	1782974	G6923-MONOMER	
EG10222	b4384	4620883	4621602	DEOD-MONOMER	RXN0-5199 // XANTHOSINEPHOSPHORY-RXN // PNP-RXN // DEOXYGUANPHOSPHOR-RXN // INOPHOSPHOR-RXN // DEOXYINOPHOSPHOR-RXN // ADENPHOSPHOR-RXN // DEOXYADENPHOSPHOR-RXN
EG10856	b0611	644197	645003	EG10856-MONOMER	RXN0-6527 // RXN0-6526 // 3.1.27.6-RXN
G6313	b0558	579184	579594	G6313-MONOMER	
G6322	b0574	597479	598702	G6322-MONOMER	TRANS-RXN0-280 // TRANS-RXN-90
EG10398	b3926	4115714	4117222	GLYCEROL-KIN-MONOMER	GLYCEROL-KIN-RXN
G0-8895	b4414	189712	189847	T44-RNA	
EG10296	b0590	621185	622189	FEPD-MONOMER	ABC-10-RXN
G7871	b4216	4438708	4439262	G7871-MONOMER	
G6483	b0941	1001807	1002877	G6483-MONOMER	
G6105	b0221	240859	243303	ACYLCOADEHYDROG-MONOMER	RXN-13615 // RXN-14229 // RXN-14278 // BUTYRYL-COA-DEHYDROGENASE-RXN // ACYLCOADEHYDROG-RXN // RXN-17775 // RXN-17779 // RXN-17783 // RXN-17784 // RXN-17788 // RXN-17792 // RXN-17796
G7643	b3148	3295394	3295789	G7643-MONOMER	
EG10998	b0002	337	2799	ASPKINIHOMOSERDEHYDROGI-MONOMER	ASPARTATEKIN-RXN // HOMOSERDEHYDROG-RXN
EG10399	b2239	2349935	2351011	GLYCPDIESTER-PERI-MONOMER	RXN-14073 // RXN-14160 // GLYCPDIESTER-RXN
EG10265	b0096	106557	107474	UDPACYLGLCNACDEACETYL-MONOMER	UDPACYLGLCNACDEACETYL-RXN
G7927	b4330	4559997	4560680	G7927-MONOMER	
G6385	b0716	747921	748982	G6385-MONOMER	
G6921	b1698	1780401	1781339	G6921-MONOMER	
EG10845	b3783	3966417	3967676	EG10845-MONOMER	
G7347	b2570	2707322	2707801	G7347-MONOMER	RXN0-7453
G6645	b1298	1361120	1361884	G6645-MONOMER	RXN0-3942
EG11738	b3995	4196332	4196808	EG11738-MONOMER	
EG10451	b2026	2096614	2097225	HISTCYCLOPRATPPHOS	HISTCYCLOHYD-RXN // HISTPRATPHYD-RXN
G7193	b2301	2419841	2420485	G7193-MONOMER	GST-RXN
EG11296	b4389	4625912	4627294	EG11296-MONOMER	
EG10741	b4235	4457959	4459311	EG10741-MONOMER	RXN-21204
EG11031	b3781	3965761	3966090	OX-THIOREDOXIN-MONOMER // RED-THIOREDOXIN-MONOMER	RXN0-7311 // RXN-20161
EG12332	b0156	176610	176954	EG12332-MONOMER	
G6952	b1757	1839467	1840774	G6952-MONOMER	RXN-12473
G6668	b1332	1397365	1397622	G6668-MONOMER	
EG10157	b2592	2731600	2734173	MONOMER0-4519 // EG10157-MONOMER	RXN185E-10
G6933	b1728	1810211	1810801	G6933-MONOMER	
EG11840	b3874	4062247	4063512	YIHN-MONOMER	
EG10527	b0344	363231	366305	BETAGALACTOSID-MONOMER	BETAGALACTOSID-RXN // RXN0-5363 // RXN-17726 // RXN0-7219 // RXN-24169 // RXN-25312
EG12070	b2211	2306972	2308615	YOJI-MONOMER	
EG12234	b3499	3645385	3646227	EG12234-MONOMER	RXN0-6998
EG11780	b4696	1592665	1598086	EG11780-MONOMER	
G7758	b3441	3581138	3581626	G7758-MONOMER	
EG12703	b1003	1066864	1067091	EG12703-MONOMER	
G6781	b1487	1560931	1562481	YDDS-MONOMER	
G6778	b1484	1558031	1559017	YDDP-MONOMER	
G6685	b1361	1422752	1423312	G6685-MONOMER	
G6539	b1033	1097886	1098824	G6539-MONOMER	GLYOXYLATE-REDUCTASE-NADP+-RXN // RXN0-300
EG10581	b4013	4214280	4215209	HOMSUCTRAN-MONOMER	HOMSUCTRAN-RXN
EG10262	b0583	609459	610079	ENTD-MONOMER	ENTMULTI-RXN // RXN-19445 // DHBAMPLIG-RXN // RXN0-6442 // ENTF-RXN // RXN-15890 // RXN-15891 // ENTG-RXN // RXN-15889 // ENTDB-RXN
EG10994	b1238	1293527	1294144	TDK-MONOMER	THYKI-RXN // DURIDKI-RXN
EG11010	b0737	775153	775845	EG11010-MONOMER	
EG10530	b2568	2704335	2705309	EG10530-MONOMER	3.4.21.89-RXN
EG12520	b4230	4452571	4453596	YTFT-MONOMER	TRANS-RXN0-492 // TRANS-RXN0-491
G6950	b1755	1837212	1838747	YNJC-MONOMER	
G6094	b0186	209679	211820	LDC2-MONOMER	LYSDECARBOX-RXN
EG12876	b0969	1030339	1030668	EG12876-MONOMER	RXN-22699
G7331	b2537	2668006	2668896	G7331-MONOMER	
EG30020	b1977	2044549	2044624	asnT-tRNA	
EG11069	b3811	3996287	3997183	EG11069-MONOMER	
EG50007	b2440	2556410	2557297	EUTC-MONOMER	ETHAMLY-RXN
EG30104	b0244	262871	262946	thrW-tRNA	
EG10999	b0003	2801	3733	HOMOSERKIN-MONOMER	HOMOSERKIN-RXN // RXN0-6564
G6306	b0550	573371	573733	G6306-MONOMER	
EG11760	b1457	1529922	1530404	EG11760-MONOMER	
G0-16695		4326205	4326281	RNA0-394	
G7176	b2269	2382713	2383924	G7176-MONOMER	3.4.19.12-RXN
EG12086	b2285	2401552	2402052	NUOE-MONOMER	NADH-DEHYDROG-A-RXN // RXN0-5388
EG10841	b1924	2003872	2005278	EG10841-MONOMER	
G0-10546		4498272	4499500	MONOMER0-4259	
EG10533	b4043	4257115	4257723	PD00205	
EG30056	b2404	2521253	2521328	lysV-tRNA	
G6860	b1604	1678427	1679371	G6860-MONOMER	
EG11101	b0476	499014	499973	EG11101-MONOMER	ACETYLESTERASE-RXN
EG11701	b2066	2142307	2142948	UDK-MONOMER	URIDINEKIN-RXN // CYTIKIN-RXN // URKI-RXN // CYTIDINEKIN-RXN
EG10945	b4388	4624895	4625863	PSERPHOSPHA-MONOMER	RXN0-5114
EG11344	b1133	1192667	1193773	EG11344-MONOMER	RXN0-2023
EG11811	b4187	4414275	4415900	EG11811-MONOMER	RXN0-2301
EG11547	b1652	1728347	1728994	EG11547-MONOMER	RXN0-6482 // RXN0-6480 // RXN0-6484 // RXN0-6483 // RXN0-4223 // RXN0-7473
G6469	b0906	956762	957454	G6469-MONOMER	
G6829	b1556	1640370	1640585	G6829-MONOMER	
EG11385	b0606	639753	641318	EG11385-MONOMER	R4-RXN // RXN-19953 // RXN-19954 // RXN-20692 // RXN-20691 // RXN-8506
G0-16671	b4656	4532050	4532310		
EG11289	b2147	2235265	2236500	EG11289-MONOMER	RXN-25213 // DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN // RXN0-6565
EG11082	b0030	27293	28207	EG11082-MONOMER	URIDINE-NUCLEOSIDASE-RXN // RXN0-363 // INOSINE-NUCLEOSIDASE-RXN // ADENOSINE-NUCLEOSIDASE-RXN // RXN0-361
EG10626	b0099	111044	111433	EG10626-MONOMER	RXN-11396 // RXN-14002 // RXN-12816 // RXN-11397
G7800	b4481	3977525	3978604	G7800-MONOMER	FUC4NACTRANS-RXN
EG11628	b0860	899844	900575	ARTJ-MONOMER	ABC-4-RXN
EG10341	b0084	91413	93179	EG10341-MONOMER	RXN-16659
G6126	b0251	266110	266553	G6126-MONOMER	
G6401	b0771	803503	805764	G6401-MONOMER	
EG11021	b3849	4033145	4034596	TRKH-MONOMER	TRANS-RXN-3
G0-10752	b4713	3648294	3648375	RNA0-380	
G6239	b0425	443604	444515	2-DEHYDROPANTOATE-REDUCT-MONOMER	2-DEHYDROPANTOATE-REDUCT-RXN
G6882	b1642	1720390	1720824	G6882-MONOMER	
G6157	b0286	301884	302573	G6157-MONOMER	CARBOXYLATE-REDUCTASE-RXN // RXN-24042 // RXN-24038
G6912	b1686	1765222	1765632	G6912-MONOMER	RXN-9311
EG11288	b0394	410144	411052	EG11288-MONOMER	MANNKIN-RXN // FRUCTOKINASE-RXN
G7543	b2977	3123827	3124231	G7543-MONOMER	
G7181	b2274	2388635	2389057	G7181-MONOMER	
EG10572	b2781	2909894	2910685	EG10572-MONOMER	ATP-PYROPHOSPHATASE-RXN // RXN-14139 // RXN0-383 // RXN0-385 // RXN0-384 // RXN0-6382 // DCTP-PYROPHOSPHATASE-RXN // DUTP-PYROP-RXN // RXN0-5107 // RXN0-1603 // RXN0-1602 // NUCLEOTIDE-PYROPHOSPHATASE-RXN
EG11608	b1249	1307185	1308645	CARDIOLIPSYN-MONOMER	CARDIOLIPSYN-RXN
EG11407	b1189	1237571	1238869	DALADEHYDROGA-MONOMER	RXN-11193 // DALADEHYDROG-RXN
EG10894	b3987	4181245	4185273	RPOB-MONOMER	DNA-DIRECTED-RNA-POLYMERASE-RXN
EG11163	b3036	3179596	3179856		
G0-10608	b4622	4304128	4304403	MONOMER0-2830	
G7587	b3048	3190632	3191696	G7587-MONOMER	
EG11877	b3923	4113293	4113721	EG11877-MONOMER	
EG10528	b4036	4247971	4249311	EG10528-MONOMER	RXN0-1741 // RXN0-1804
G7737	b3393	3521009	3521449	G7737-MONOMER	
G0-9962	b4618	3853553	3853642	MONOMER0-1922	
G6260	b0484	508875	511379	MONOMER0-4382 // G6260-MONOMER	RXN-14455
EG11318	b1093	1150670	1151404	3-OXOACYL-ACP-REDUCT-MONOMER	RXN-9524 // RXN-9528 // RXN-9536 // RXN-9518 // RXN-9540 // RXN-9556 // RXN-9532 // 3-OXOACYL-ACP-REDUCT-RXN // RXN0-2142 // RXN-10655 // RXN-10659 // RXN-11480 // RXN-11476 // RXN-9514
EG12203	b1557	1641339	1641554	EG12203-MONOMER	
G7304	b2487	2608487	2610154	MONOMER0-150	
G6400	b0770	801887	803320	B0770-MONOMER	
EG30095	b2695	2818553	2818645	serV-tRNA	
G6519	b1008	1070365	1070955	G6519-MONOMER	RXN-8974
EG10599	b4143	4371025	4372671	EG10599-MONOMER	RXN0-1061
EG11017	b1197	1245679	1247376	TREHALAPERI-MONOMER	TREHALA-RXN
G7565	b3012	3156623	3157450	MONOMER0-148	RXN0-4281 // RXN0-7119 // RXN0-1941 // RXN0-7020
G6823	b1550	1637609	1637782	G6823-MONOMER	
G7234	b2371	2488023	2489168	G7234-MONOMER	RXN0-7075
G6800	b1513	1601490	1603025	YDEX-MONOMER	TRANS-RXN0-454
EG10499	b0078	87357	87848	ACETOLACTSYNIII-HCHAIN-MONOMER	ACETOLACTSYN-RXN // ACETOOHBUTSYN-RXN
EG10080	b1704	1788435	1789481	AROH-MONOMER	DAHPSYN-RXN
G7889	b4262	4487318	4488400	G7889-MONOMER	TRANS-RXN-237 // TRANS-RXN0-638
EG10634	b0675	699574	700326	EG10634-MONOMER	RXN-7607 // RXN-7609 // 5-NUCLEOTID-RXN
G7350	b2584	2719953	2722613	G7350-MONOMER	RXN0-7160
EG11523	b0704	735650	736219	EG11523-MONOMER	
G6379	b0710	742827	743570	G6379-MONOMER	
G7152	b2225	2327367	2328143	G7152-MONOMER	
EG10467	b0440	461451	461723	EG10467-MONOMER	
EG12903	b3352	3481289	3483202	YHES-MONOMER	
G7149	b2191	2288905	2289027		
EG10267	b3266	3415033	3418137	ACRF-MONOMER	TRANS-RXN-352 // TRANS-RXN-367 // TRANS-RXN-354 // TRANS-RXN-355
G0-8905	b4435	2071317	2071511	IS102-RNA	
EG12631	b4476	3575721	3577061	GNTU-MONOMER	TRANS-RXN0-209
G6721	b1400	1464471	1465061	G6721-MONOMER	RXN0-7103
EG11219	b1419	1491677	1491850	EG11219-MONOMER	
EG11127	b1259	1315856	1316035	EG11127-MONOMER	
EG11729	b3719	3899408	3900577	EG11729-MONOMER	
G7076	b1996	2068952	2069857	MONOMER0-4446	
EG11571	b0065	71351	72115	EG11571-MONOMER	
G58	b0459	479367	479918	MALTACETYLTRAN-MONOMER	MALTACETYLTRAN-RXN
EG10938	b0408	427647	429494	SECD	
EG10849	b0497	523261	527541	EG10849-MONOMER	
G6788	b1498	1580842	1582524	G6788-MONOMER	
EG11245	b2930	3075217	3076182	EG11245-MONOMER	F16BDEPHOS-RXN
EG10368	b2927	3072672	3073691	ERYTH4PDEHYDROG-MONOMER	ERYTH4PDEHYDROG-RXN
G6998	b1820	1904801	1905259	G6998-MONOMER	
EG10690	b0143	157729	159126	EG10690-MONOMER	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN // RXN0-7462
G6494	b0959	1021138	1021767	G6494-MONOMER	
G0-10644	b4677	1946115	1946180	MONOMER0-2871	
G6311	b0556	578107	578568	G6311-MONOMER	
EG10711	b4108	4326399	4326734	EG10711-MONOMER	
EG13270	b0875	915352	916047	AQPZ-MONOMER	TRANS-RXN-145
G6346	b0620	653862	654542	PHOSPHO-DPIA // G6346-MONOMER	
EG10284	b3891	4080299	4081228	EG10284-MONOMER	
EG10148	b1884	1968504	1969364	CHER-MONOMER	CHER-RXN // CHERTSRM-RXN // CHERTRGM-RXN // CHERTARM-RXN // CHERTAPM-RXN // RXN-19922
EG11521	b0699	729134	729340	EG11521-MONOMER	
G6564	b1104	1162247	1162624	G6564-MONOMER	
EG11074	b3565	3729443	3730765	XYLISOM-MONOMER	XYLISOM-RXN
EG11580	b0800	835248	836210	EG11580-MONOMER	
EG11123	b1255	1312920	1313663	EG11123-MONOMER	
G6417	b0808	843255	845480	G6417-MONOMER	
EG12708	b0527	556032	556553	EG12708-MONOMER	
EG10579	b2264	2377589	2379259	MEND-MONOMER	2.5.1.64-RXN
EG12197	b0687	712987	713532	EG12197-MONOMER	
EG10820	b1951	2023968	2024591	PD02233	
G7761	b3444	3583483	3583758	MONOMER0-4226	
G7384	b2649	2783638	2784429	G7384-MONOMER	
G7922	b4325	4555490	4556320	G7922-MONOMER	
EG11386	b4486	4574135	4576855	EG11386-MONOMER	
EG10357	b4122	4345680	4347326	FUMB-MONOMER	FUMHYDR-RXN // D--TARTRATE-DEHYDRATASE-RXN
G7001	b1825	1908261	1908548	G7001-MONOMER	
EG11434	b1531	1619574	1619957	PD00365	
G0-10702		3354064	3354169		
EG10614	b1855	1939222	1940193	MYRISTOYLACYLTRAN-MONOMER	MYRISTOYLACYLTRAN-RXN // MYRPALMTRAN-RXN
EG11727	b3717	3898022	3898609	EG11727-MONOMER	
EG10126	b3966	4163639	4165483	EG10126-MONOMER	RXN0-1565 // TRANS-RXN0-283 // TRANS-RXN-1592
G6253	b0458	478781	479251	G6253-MONOMER	
EG11670	b2222	2324109	2324759	ATOA-MONOMER	ACETOACETYL-COA-TRANSFER-RXN
EG11720	b3710	3891615	3892790	YIDY-MONOMER	TRANS-RXN-341
G0-10737	b4707	4019978	4020229	RNA0-372	
G6861	b1605	1679557	1680939	ARCD-MONOMER	
EG11196	b3698	3877067	3877465	EG11196-MONOMER	
G6643	b1296	1357802	1359187	B1296-MONOMER	TRANS-RXN-69
G0-10716	b4706	2668006	2668071	MONOMER0-4224	
G6471	b0916	969389	970621	G6471-MONOMER	RXN0-7366 // RXN-21728
G6974	b1788	1874078	1874182	G6974-MONOMER	
EG12208	b4581	658031	658818	EG12208-MONOMER	
G7348	b2571	2707798	2708754	G7348-MONOMER	
G7211	b2340	2456327	2456812	G7211-MONOMER	RXN0-312 // RXN0-7395
EG10218	b2314	2431022	2431684	EG10218-MONOMER	
EG11492	b4051	4263248	4264231	QOR-MONOMER	QOR-RXN
G6618	b1181	1228815	1229276	G6618-MONOMER	
G0-10557	b4578	1503218	1503649		
EG11676	b3932	4121757	4122287	EG11676-MONOMER	RXN0-5103
G0-10539		1978518	1979215	MONOMER0-4229	
EG30080	b3275	3423880	3426783	RRLD-RRNA	
G0-8601	b4467	3124236	3125459	MONOMER0-561	GLYCOLATEDEHYDRO-RXN // RXN0-7229
EG10135	b0033	30817	34038	CARBPSYN-LARGE	CARBPSYN-RXN // GLUTAMIN-RXN // RXN-22735 // RXN-16909 // RXN-22736 // RXN-14196
G0-8871	b4450	3350577	3350697	SRAH-RNA	
G6113	b0229	248358	250070	G6113-MONOMER	
G6154	b0283	297770	298726	G6154-MONOMER	
EG10137	b2143	2231844	2232728	CYTIDEAM-MONOMER	CYTIDEAM2-RXN // CYTIDEAM-RXN
G7138	b2106	2185917	2186741	G7138-MONOMER	TRANS-RXN0-585 // TRANS-RXN0-584
EG12883	b2987	3134872	3136371	PITB-MONOMER	TRANS-RXN-114 // TRANS-RXN0-550 // TRANS-RXN-278 // TRANS-RXN-277
EG11732	b3754	3939185	3940612	YIEO-MONOMER	
G0-16738	b4744	1434293	1434406	MONOMER0-4421	
EG10313	b4318	4547742	4548272	EG10313-MONOMER	
G7662	b3197	3341266	3342252	G7662-MONOMER	DARAB5PISOM-RXN
EG11939	b4064	4278479	4279828	EG11939-MONOMER	TRANS-RXN0-562 // TRANS-RXN0-578
EG10211	b1961	2030899	2032317	EG10211-MONOMER	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
G6109	b0225	245961	246239	G6109-MONOMER	RXN0-5509
EG30051	b4368	4606079	4606165	leuV-tRNA	
EG11796	b4386	4623101	4624117	EG11796-MONOMER	RXN-13039 // RXN0-1141 // RXN-17127 // RXN-8655 // RXN0-1139 // RXN0-7424 // RXN0-1140 // RXN-8654 // RXN0-7425 // RXN0-5098 // RXN0-7423 // RXN-24036
EG12633	b3034	3177281	3177910	EG12633-MONOMER	RXN0-7309 // ADPSUGPPHOSPHAT-RXN
G0-10633	b4667	2153349	2153408	MONOMER0-2859	
G7697	b3280	3429766	3430023	G7697-MONOMER	
EG11120	b1156	1208517	1209119	EG11120-MONOMER	
EG11132	b1703	1787445	1788278	EG11132-MONOMER	
EG11188	b3618	3792826	3793683	EG11188-MONOMER	
EG11896	b2014	2085704	2087062	YEEF-MONOMER	TRANS-RXN-69
EG10417	b0849	890496	890753	GLUTAREDOXIN-MONOMER // RED-GLUTAREDOXIN	PRODISULFREDUCT-RXN // RXN0-7271 // RXN-19629 // RXN-18586
G0-10606	b4620	4239777	4240055	MONOMER0-2828	
G7715	b3346	3475718	3476440	G7715-MONOMER	
EG11591	b0630	661637	662278	EG11591-MONOMER	RXN0-947 // RXN0-1137 // RXN0-1130 // RXN0-1138
G0-16718	b4634	581354	581662	G0-16718-MONOMER	
EG11438	b1087	1146011	1146595	EG11438-MONOMER	RXN0-7079
EG12322	b0129	144577	145017	AGAX-MONOMER	
G6803	b1516	1605051	1606073	YNEA-MONOMER	TRANS-RXN0-454
EG12615	b0995	1057262	1057954	TORR-MONOMER	
EG10785	b1204	1257929	1258513	EG10785-MONOMER	AMINOCYL-TRNA-HYDROLASE-RXN
